date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:27:43	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5ff4583c-d84f12f81887d021;gz%22	https://www.tarjetas.cool/robots.txt		(from )
12:27:43	8014/8014	---M-Z	200	added ('OK')	text/html	etag:%221f4e-64a05b1d-7bc126879773374f;gz%22	https://www.tarjetas.cool/modelos/cumple/paw_patrol/	C:/Mis%20lugares%20Web/invitacionPawPatrol/www.tarjetas.cool/modelos/cumple/paw_patrol/index.html	(from )
12:27:43	163873/163873	---M-Z	200	added ('OK')	text/css	etag:W/%2228021-7Ba9Gb9K6bwuIzasQJpQO7varK0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	C:/Mis%20lugares%20Web/invitacionPawPatrol/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	(from https://www.tarjetas.cool/modelos/cumple/paw_patrol/)
12:27:43	88585/88585	---M-Z	200	added ('OK')	text/css	etag:W/%2215a09-bhLh682YP4SOXCgKt3ZJ7rROdLw%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/bootstrap-icons.css	C:/Mis%20lugares%20Web/invitacionPawPatrol/cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/bootstrap-icons.css	(from https://www.tarjetas.cool/modelos/cumple/paw_patrol/)
12:27:44	9479/9479	---M-Z	200	added ('OK')	text/css	etag:%222507-630ace3d-2cc3b4070b167736;gz%22	https://www.tarjetas.cool/modelos/cumple/paw_patrol/css/styles.css?v=10	C:/Mis%20lugares%20Web/invitacionPawPatrol/www.tarjetas.cool/modelos/cumple/paw_patrol/css/stylesb6f5.css	(from https://www.tarjetas.cool/modelos/cumple/paw_patrol/)
12:27:44	3543/3543	---M--	200	added ('OK')	image/png	etag:%22dd7-62f13ac5-7305083aa904d02b;;;%22	https://www.tarjetas.cool/favicon-32x32.png	C:/Mis%20lugares%20Web/invitacionPawPatrol/www.tarjetas.cool/favicon-32x32.png	(from https://www.tarjetas.cool/modelos/cumple/paw_patrol/)
12:27:44	3073/3073	---M--	200	added ('OK')	image/png	etag:%22c01-62f13ac5-91bc429e33d6d6cd;;;%22	https://www.tarjetas.cool/favicon-16x16.png	C:/Mis%20lugares%20Web/invitacionPawPatrol/www.tarjetas.cool/favicon-16x16.png	(from https://www.tarjetas.cool/modelos/cumple/paw_patrol/)
12:27:45	126641/126641	---M--	200	added ('OK')	image/gif	etag:%221eeb1-630ace48-2f4e5c5ed2bc2eb2;;;%22	https://www.tarjetas.cool/modelos/cumple/paw_patrol/img/logo_animado.gif	C:/Mis%20lugares%20Web/invitacionPawPatrol/www.tarjetas.cool/modelos/cumple/paw_patrol/img/logo_animado.gif	(from https://www.tarjetas.cool/modelos/cumple/paw_patrol/)
12:27:45	49748/49748	---M--	200	added ('OK')	image/png	etag:%22c254-630ace40-4eef466bef1eb050;;;%22	https://www.tarjetas.cool/modelos/cumple/paw_patrol/img/1.png	C:/Mis%20lugares%20Web/invitacionPawPatrol/www.tarjetas.cool/modelos/cumple/paw_patrol/img/1.png	(from https://www.tarjetas.cool/modelos/cumple/paw_patrol/)
12:27:45	25041/25041	---M--	200	added ('OK')	image/jpeg	etag:%2261d1-630ace46-896fc2d56546ec49;;;%22	https://www.tarjetas.cool/modelos/cumple/paw_patrol/img/foto1.jpg	C:/Mis%20lugares%20Web/invitacionPawPatrol/www.tarjetas.cool/modelos/cumple/paw_patrol/img/foto1.jpg	(from https://www.tarjetas.cool/modelos/cumple/paw_patrol/)
12:27:46	78129/78129	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213131-qF5oFiTJGhBqUUwx6s+A3oF7LMM%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js	C:/Mis%20lugares%20Web/invitacionPawPatrol/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js	(from https://www.tarjetas.cool/modelos/cumple/paw_patrol/)
12:27:46	235301/235301	---M--	200	added ('OK')	audio/mpeg	etag:%2239725-630ace4c-6c08e75b95b71ad0;;;%22	https://www.tarjetas.cool/modelos/cumple/paw_patrol/sounds/audio.mp3	C:/Mis%20lugares%20Web/invitacionPawPatrol/www.tarjetas.cool/modelos/cumple/paw_patrol/sounds/audio.mp3	(from https://www.tarjetas.cool/modelos/cumple/paw_patrol/)
12:27:46	50210/50210	---M--	200	added ('OK')	image/png	etag:%22c422-630ace42-5e17dbe2f1595daf;;;%22	https://www.tarjetas.cool/modelos/cumple/paw_patrol/img/cinta.png	C:/Mis%20lugares%20Web/invitacionPawPatrol/www.tarjetas.cool/modelos/cumple/paw_patrol/img/cinta.png	(from https://www.tarjetas.cool/modelos/cumple/paw_patrol/)
12:27:46	1725/1725	---M-Z	200	added ('OK')	application/x-javascript	etag:%226bd-630ace48-a5867bead870086b;gz%22	https://www.tarjetas.cool/modelos/cumple/paw_patrol/js/card.js?v=8	C:/Mis%20lugares%20Web/invitacionPawPatrol/www.tarjetas.cool/modelos/cumple/paw_patrol/js/card8e0e.js	(from https://www.tarjetas.cool/modelos/cumple/paw_patrol/)
12:27:46	112440/112440	---M--	200	added ('OK')	font/woff2	etag:W/%221b738-OihLBhh3Hynajra+kA6ZQ5JT3OA%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/fonts/bootstrap-icons.woff2?8d200481aa7f02a2d63a331fc782cfaf	C:/Mis%20lugares%20Web/invitacionPawPatrol/cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/fonts/bootstrap-iconsd862.woff2	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/bootstrap-icons.css)
12:27:47	150592/150592	---M--	200	added ('OK')	font/woff	etag:W/%2224c40-p35qLzNfP8tPKTB5SQfIjtfefKE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/fonts/bootstrap-icons.woff?8d200481aa7f02a2d63a331fc782cfaf	C:/Mis%20lugares%20Web/invitacionPawPatrol/cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/fonts/bootstrap-iconsd862.woff	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/bootstrap-icons.css)
12:27:47	34216/34216	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%2285a8-630ace3e-b06d251403a28765;gz%22	https://www.tarjetas.cool/modelos/cumple/paw_patrol/fonts/Manhandle-Slab.ttf	C:/Mis%20lugares%20Web/invitacionPawPatrol/www.tarjetas.cool/modelos/cumple/paw_patrol/fonts/Manhandle-Slab.ttf	(from https://www.tarjetas.cool/modelos/cumple/paw_patrol/css/styles.css?v=10)
